Month,Day,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mar,15,14,9,8,8,14,8,9,15,15,17,10,3,8,11,18,14,15,1,7,10,9,10,7,10,17,8,8,1,7,1,9,9,1,10,7,17,15,1,1,8,8,14,9,9,8,1,8,15,1,15,18,17,1,10,10,3,9,8,8,14,8,8,5,9,11,19,10,15,11,17
Mar,16,11,12,8,8,15,9,1,15,11,8,7,8,8,8,15,11,10,3,8,10,8,16,1,7,14,8,10,17,15,1,3,1,1,8,15,17,1,1,1,16,3,15,9,9,1,1,8,14,8,14,14,8,3,10,1,1,9,9,1,17,3,8,5,8,11,15,16,8,8,8
Mar,17,8,17,8,3,11,3,15,14,5,10,8,8,9,8,10,17,1,1,15,15,8,18,14,14,8,8,16,15,10,17,8,2,14,3,8,9,11,8,1,11,3,10,9,1,3,1,7,10,15,14,14,7,1,3,17,1,1,1,1,17,1,9,8,3,9,17,15,1,8,1
Mar,18,14,10,8,1,8,11,11,10,8,8,8,8,1,3,10,9,15,15,1,10,8,15,14,10,10,7,17,17,3,14,8,15,11,9,8,3,15,8,1,10,10,8,9,17,16,17,1,10,11,14,14,1,15,3,10,14,8,1,10,10,8,1,8,7,9,8,8,1,8,17
Mar,19,8,8,8,1,10,14,1,10,3,8,8,1,1,1,15,1,15,8,14,1,8,14,11,8,18,1,8,10,14,10,3,1,10,14,8,9,10,10,8,8,15,8,1,1,17,10,1,8,8,11,17,15,7,3,15,14,8,10,17,10,8,10,1,1,3,1,1,17,7,15
Mar,20,7,10,17,10,18,11,1,10,5,1,8,1,3,8,5,16,15,9,11,10,17,15,10,8,17,10,17,7,14,1,15,7,17,14,10,14,9,10,8,1,14,10,1,1,17,8,1,8,15,7,17,15,1,3,15,17,8,10,10,19,8,1,9,1,3,1,15,8,17,17
Mar,21,17,18,15,15,14,11,19,9,8,19,16,1,15,8,9,10,8,8,11,14,8,15,16,9,11,11,1,8,10,1,10,9,10,8,10,14,9,10,9,1,8,17,1,15,17,8,8,1,15,2,7,14,1,8,11,15,8,10,15,9,8,1,8,8,1,9,1,15,8,10
Mar,22,17,19,8,8,15,11,2,8,11,17,8,17,15,7,18,7,9,15,17,14,9,14,14,1,8,11,1,18,1,3,7,8,1,8,10,17,18,18,19,1,8,1,1,17,17,8,1,8,15,15,8,8,15,8,5,15,3,10,10,7,15,10,1,8,8,14,1,8,8,1
Mar,23,11,15,17,1,1,11,15,8,5,17,14,8,15,7,15,1,8,11,8,15,3,11,8,2,8,8,8,19,1,1,14,8,1,15,17,8,19,15,8,1,8,1,1,11,17,8,8,15,15,15,11,10,14,15,16,8,3,8,9,2,9,15,1,8,1,11,3,7,7,17
Mar,24,8,15,15,17,17,17,11,17,9,17,8,8,17,17,8,8,15,8,7,17,1,7,8,2,17,9,10,8,1,3,11,15,19,8,14,8,8,11,8,16,7,18,8,17,7,3,1,14,14,15,8,7,11,17,16,14,1,8,16,10,8,15,1,17,1,8,3,1,16,8
Mar,25,17,17,14,15,8,9,8,17,17,5,9,17,8,11,10,5,15,8,8,14,1,8,8,15,8,9,8,8,1,1,7,8,8,1,17,10,15,10,8,15,15,8,8,10,3,1,1,11,11,17,9,11,8,5,15,11,1,1,15,10,8,10,1,8,3,7,3,9,8,8
Mar,26,8,17,14,10,10,9,10,11,10,5,9,8,9,9,4,5,11,17,8,14,1,18,1,15,10,1,10,15,1,5,1,11,19,11,17,1,8,9,8,14,11,10,8,10,1,1,1,8,17,10,7,8,1,8,14,11,1,3,10,8,5,1,8,8,15,2,10,9,3,8
Mar,27,18,1,8,16,1,7,10,15,3,3,2,8,9,7,11,10,1,15,11,14,1,14,1,15,3,10,10,11,1,2,10,8,14,14,17,2,10,19,3,8,10,17,8,3,9,7,7,10,17,18,16,7,3,8,14,8,1,1,10,8,10,14,17,8,17,6,10,1,15,15
Mar,28,14,2,11,17,1,1,9,8,17,1,8,10,1,15,5,1,9,10,8,17,1,10,8,7,2,9,19,1,1,17,7,10,10,10,8,1,3,15,1,10,7,17,8,3,15,1,7,7,7,15,14,7,1,3,17,1,1,7,17,8,10,11,8,15,15,10,3,8,11,1
